actor_name,drama_num
Lee Shin Young,1
Kim So Hye,3
Park Young Rin,2
Go Se Won,3
Kang Tae Sung,2
Lee Chang Wook,4
Park Sun Ho,5
Jo Dong Hyuk,2
Jung Hye In,2
Kim Min Sang,1
Ryu Deok Hwan,4
Ahn Ji Ho,1
Seo Woo Jin,1
Jo Min Soo,1
Park Seo Joon,6
Jung Yeon Joo,1
Noh Kwang Shik,1
Suho,3
Shim Eun Kyung,1
Lee Tae Hwan,3
One,1
Lee Chang Hoon,1
Lee Sang Hee,2
Jeon Sung Woo,1
Lee Si Eon,2
Hyun Bin,3
Min Jin Woong,1
Kim Seul Gi,4
Ahn Jae Hyun,5
Gu Won,2
Heo Jung Min,2
Chae Seo Jin,3
Kim Soo An,1
Jo A Young,1
Jung Shin Hye,1
Kim Hyung Suk,1
Kim Heung Soo,1
Oh Chae Yi,1
Lee Hae Woo,2
Oh Ji Ho,6
Youn Yuh Jung,2
Song Won Seok,4
Moon Geun Young,2
Kim Kwon,2
Yang Se Jong,4
Lee Na Eun,2
Jo Yoon Hee,3
Jang Hyun Sung,2
Choi Gwi Hwa,2
Kim Tae Hoon,4
Jang Mi Hee,3
Park Hee Bon,2
Gong Hyo Jin,3
Jang Dong Gun,4
Bae Jong Ok,4
Kang Dae Hyun,1
Kim Da Ye,1
Shin  Won Ho,1
Lee Ho Won,3
Ahn Jae Hong,2
Lee Seol,2
Hong Ji Yoon,2
Jung Young Joo,1
Han Ji Hye,2
Oh Ji Eun,3
Choi Kyu Jin,1
Lee Ki Woo,5
Park Shi Eun,2
Kim Ho Jin,1
Seo Hye Jin,1
Kang Suk Jung,1
IU,4
Do Won,3
New Sun,1
Kim Ye Ji,1
Ki Tae Hwa,1
Jang Moon Bok,1
Han Bo Reum,2
Kang Ji Hwan,4
Seo Ji Suk,3
Ha Shi Eun,1
Ha Jae Sook,1
Oh Man Suk,2
Jung Yoo Mi,5
Noh Min Woo,2
Kam Woo Sung,2
Kim Joon Han,2
Kim  Bo Mi,1
Kim Hye Sun,1
Shin Da Eun,3
Ahn Yun Hong,1
Son Woo Hyeok,1
Choi Moon Hee,1
Park Soo Young,1
Jung Sung Ho,1
Hong Seo Young,2
Choi Sung Won,1
Kim Jae Kyung,2
Han Soo Yeon,2
Kim Dong Wan,1
Kim Hwan Hee,1
Na Jae Min,1
Kim Ji In,1
Kim Yoo Jin,1
Kim Tae Woo,3
Kim Sang Joong,2
Chae Shi Ra,3
Yoo Dong Geun,2
Ki Tae Young,1
Kim Ha Kyung,1
Nam Ki Ae,1
Joo Jin Mo,4
Han Ye Seul,3
Kim Hee Won,2
Song Sae Byuk,1
Go Joon Hee,3
Ryu Soo Young,4
Park Han Byul,3
Choi Woong,1
Jung Hye Sung,6
Lee Hong Ki,2
Moon Soo Bin,1
Kim Hye Ja,3
Lee Seung Joon,4
Kim Hyun Sook,4
Lee Na Young,1
Ryu Seung Ryong,1
Choi Byung Mo,1
Mina,1
Jae Hee,2
Jo An,2
Kim Hyung Min,1
Park Shin Yang,2
Kim Jin Woo,2
Ha Yun Joo,4
Jin Tae Hyun,1
Joo Woo Jae,1
Lee Joo Seung,1
