eng_title,kor_title,genre,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,synopsis,actor_list,Video Count,Total Views,cond,blog_cnt,after_two_months
Phantom the Secret Agent,오빠가 대신 연애해줄께,"['Romance', 'Drama', 'Supernatural']",Naver TV Cast,,,2020-06-04,2020-06-25,Thursday,2020,4,"A romantic drama that focuses on the love stories of high school best friends Min Joo, Kang Chan, Bang Hee, and Hyun Beom. Everything begins when Min Joo, who develops an unrequited love for Kang Chan for a long time ends up having her deceased brother Dae Yeon’s soul take control of her body. To fulfill his younger sister’s one-sided love, Dae Yeon does his best to win over Kang Chan’s heart.","['Han Se Jin', 'Park Su Min', 'Yoon Bo Mi', 'Jang Chun']",20,2641100,False,11건,2020-08-03
My Boss Is a Million YouTuber,내상사는백만유튜버,"['Comedy', 'Drama']",Naver TV Cast,,,2020-06-03,2020-07-09,"Wednesday, Thursday",2020,11,"This story takes place when active YouTubers who have over a million subscribers become employees of a large conglomerate’s public relations team, promoting products and struggling to boost company sales.(Source: What The Kpop) ","['Lee Won Jong', 'Na Tae Joo']",20,298200,False,15건,2020-08-02
My Unfamiliar Family,(아는 건 별로 없지만) 가족입니다,"['Life', 'Drama']",tvN,['Kwon Young Il'],['Kim Eun Jung'],2020-06-01,2020-07-21,"Monday, Tuesday",2020,16,"Is blood thicker than water? Kim Eun Hee, is about to find out. She is the middle child in a family that is slowly starting to drift apart.Her older sister is a former patent attorney, and her younger brother is a sensitive soul. And although her father is hard-working, he is often distant – an attitude that has her mother poised to begin a new chapter in her life. While she pines for intimacy, Kim Eun Hee keeps her feelings hidden from her family. Instead, she prefers to confide in her close male college friend Park Chan Hyuk – a man who has become more like a brother to her than any of her real siblings. And it is to him that she turns for love advice as she looks to return to the dating scene after a long absence.But what happens when events take a turn? Could the family pull together in time to weather the storm? And when the going gets tough, will it be Kim Eun Hee’s family or her friends who step up to the plate?(Source: Viki)","['Jung Jin Young', 'Shin Jae Ha', 'Choo Ja Hyun', 'Kim Ji Suk', 'Han Ye Ri', 'Won Mi Kyung']",26,2742200,False,"15,490건",2020-07-31
Sweet Munchies,야식남녀,"['Food', 'Comedy', 'Romance', 'Life']",jTBC Viki,['Song Ji Won'],['Park Seung Hye'],2020-05-25,2020-06-30,"Monday, Tuesday",2020,12,"Park Jin Sung runs an odd little late-night restaurant where customers only choose which drinks they want and their appetizers are chosen by Park, who customizes the dishes to match their drinks. His goal is to provide diners with warmth and comfort through delicious food and excellent customer service. Seeing customers enjoy their food also gives him a great measure of happiness. At the urging of one of his regular customers, Park becomes the host of a new variety show called Midnight Snack Couple, which shoots him to popularity and fame.Regular customer Kim Ah Jin is a passionate PD. She usually has a smile on her face and always looks on the bright side. Her optimism is only matched by her love of food and drinking. After working hard as a crew member in production teams for many years, she finally gets her break as a PD when she convinces Park Jin Sung to become the host of her TV show.Kang Tae Wan is a successful fashion designer. He hosts his own fashion TV program and comes to know Park Jin Sung and Kim Ah Jin when he’s brought onto the Midnight Snack Couple variety show as a stylist for Park. As the three work together, they eventually become involved in an atypical love triangle.(Source: Dramabeans)","['Lee Hak Joo', 'Jung Il Woo', 'Kang Ji Young']",20,755200,False,787건,2020-07-24
Dinner Mate,저녁 같이 드실래요?,"['Comedy', 'Romance', 'Life', 'Drama']",iQiyi MBC,"['Go Jae Hyun', 'Park Bong Sub']",['Kim Joo'],2020-05-25,2020-07-14,"Monday, Tuesday",2020,32,"A young woman going through a rough breakup with a long-time boyfriend and a man who had a painful first love, meet unexpectedly on Jeju Island. Upon their return to  Seoul they remain acquainted due to their shared love of food and trying out new cuisines. When they dine out, they keep their private lives to themselves, not even disclosing their names. Due to a series of odd coincidences they find themselves meeting in unexpected situations. Or is fate sending them a message? (Source: MyDramaList)~~ Adapted from the webtoon ""Would You Like To Have Dinner Together?"" (저녁 같이 드실래요?) by Park Shi In (박시인).","['Song Seung Heon', 'Seo Ji Hye', 'Son Na Eun', 'Lee Ji Hoon']",26,6079200,False,"1,789건",2020-07-24
Team Bulldog: Off-duty Investigation,번외수사,"['Action', 'Mystery', 'Comedy', 'Drama']",OCN,['Kang Hyo Jin'],"['Lee Yoo Jin', 'Jung Yoon Sun']",2020-05-23,2020-06-28,"Saturday, Sunday",2020,12,"Known as an enthusiastic and impressively effective detective, Jin Kang Ho will stop at nothing to catch the criminals he’s assigned to pursue. Using any means necessary, Kang Ho goes above and beyond the call of duty to bring in the bad guys. While his gung ho attitude makes him an outstanding detective, it makes getting along with his colleagues a bit difficult. With a passion for solving the unsolvable cases, Kang Ho finds it’s better to work alone. Or so it was, until the day he met Kang Moo Young. The overly zealous producer of a low-rated investigative program, Moo Young is as enthusiastic about solving cases and catching criminals as Kang Ho. Sharing such an intense passion for their work, the two agree to team up, working together to make the world a better place. Soon joined on their quest to better the world by a former criminal profiler, a bar CEO and legendary fist-fighter who has chosen to put his past behind him, and a funeral director who once headed up the ace autopsy team at the National Forensic Service, this ragtag team soon become an unstoppable force in the world of crime-fighting.(Source: Viki)","['Cha Tae Hyun', 'Lee Sun Bin', 'Jung Sang Hoon', 'Ji Seung Hyun', 'Yoon Gyung Ho']",26,15438000,False,765건,2020-07-22
Where Your Eyes Linger,너의시선이머무는곳에,"['Romance', 'Youth', 'Drama', 'Melodrama']",Viki,,,2020-05-22,2020-06-12,Friday,2020,8,"Meet Han Tae Joo, the 18 year-old student and successor to the TB Group. Blessed with a wealthy family, good looks and popularity, he has few worries. Kang Gook, his thoughtful childhood friend, is physically strong and is  trained in different martial arts disciplines. Tae Joo is Kang Gook’s only friend. Tae Joo trusts Kang Gook and feels at ease around him.  Tension erupts between them when a new female student, Hye Mi, shows interest in Kang Gook. As the two go on a date, Han Tae Joo becomes irritated, and soon after, long-suppressed emotions start surfacing. Could there be more to their platonic friendship?(Source: Shannon0l0 at MyDramaList)","['Jang Eui Soo', 'Han Gi Chan']",32,3980900,False,178건,2020-07-21
Kkondae  Intern,꼰대인턴,"['Business', 'Comedy', 'Life', 'Drama']",MBC,['Nam Sung Woo'],['Shin So Ra'],2020-05-20,2020-07-01,"Wednesday, Thursday",2020,24,"After graduation, Ga Yeol Chan landed his first office job at a company. His superior there, Lee Man Sik, was a ""kkondae"" which refers to a rigid, old school type of person. He would force his old school ways of thinking onto Ga Yeol Chan, causing Yeol Chan to quit his job there and go work at a ramen company. He worked very hard and was promoted at lightning speed thanks to his radical planning and aggressive marketing. Yeol Chan now works as the chief of the sales and marketing department at the ramen company. This position wields the most power in the company. One day, Ga Yeol Chan gets a senior age intern. That intern is Lee Man Sik who gave him such a hard time at his first job.(Sources: Asianwiki, Soompi)~~ Adapted from the winning script from MBC’s 2018 drama writing contest.","['Han Ji Eun', 'Park Hae Jin', 'Kim Eung Soo']",32,30320000,False,"2,515건",2020-07-19
Mystic Pop-Up Bar,쌍갑포차,"['Mystery', 'Comedy', 'Drama', 'Fantasy']",jTBC Netflix,['Jun Chang Geun'],['Ha Yoon Ah'],2020-05-20,2020-06-25,"Wednesday, Thursday",2020,12,“Mystic Pop-Up Bar” tells the story of a mysterious pojangmacha (outdoor drinking establishment) run by a prickly woman and an innocent part-timer who visit customers in their dreams to help resolve their problems.,"['Choi Won Young', 'Yook Sung Jae', 'Hwang Jung Eum']",20,6658500,False,"1,962건",2020-07-19
King Maker: The Change of Destiny,바람과 구름과 비,"['Historical', 'Romance', 'Drama', 'Supernatural']",TV Chosun,['Yoon Sang Ho'],['Bang Ji Young'],2020-05-17,2020-07-26,"Saturday, Sunday",2020,21,"During the Joseon Dynasty (1392-1910), Choi Cheon Joong is Korea’s leading fortuneteller and face-reading physiognomist – as well as a skilled gambler and martial artist. He is beloved by the people of the realm and is a fierce patriot. However, he now faces his biggest challenge yet when he takes it upon himself to replace the corrupt regime running the country, hoping to elect in their place a virtuous young prince from a minor royal line.The prince, he believes, is the ideal man to take the Joseon throne. He also identifies the realm’s ideal royal consort – a humble street girl. Choi Cheon Joong must use all of his abilities to help the couple take power – but is aided in his efforts by a princess named Hwang Bong Ryun a woman who also displays incredible fortune-telling skills. As the duo proceeds with the audacious plan, they begin to develop feelings for one another...(Source: Viki)~~ Adapted from the novel ""Wind and Clouds and Rain"" by Lee Byung Joo.","['Go Sung Hee', 'Jeon Kwang Ryul', 'Park Shi Hoo', 'Sung Hyuk']",25,531900,False,890건,2020-07-16
Oh My Baby,오 마이 베이비,"['Comedy', 'Romance', 'Drama', 'Medical']",tvN,['Nam Ki Hoon'],['Yang Hyuk Moon'],2020-05-13,2020-07-02,"Wednesday, Thursday",2020,16,"Aged 39, Jang Ha Ri is the ultimate workaholic. She hasn’t even had a boyfriend in the past decade, long ago decided to forget about looking for love, and instead has thrown her energy into her career.However, as she works as a senior reporter for a parenting magazine named “The Baby,” she is constantly reminded of the one thing she wants most in life – to have a baby of her own.She decides to cut to the chase and try for a baby but wants to skip one key stage – and resolves not to marry.But as she turns her mind to single parenthood, she suddenly realizes that she is surrounded by admirers: freelance photographer Han Yi Sang, super-smart pediatrician Yoon Jae Young, and the office newbie, the doting Choi Kang Eu Ddeum. Could any of these three love candidates help Jang Ha Ri in her quest to become a mother? And could her quest inadvertently send her on the path to true love?(Source: Viki)","['Jang Na Ra', 'Jung Gun Joo', 'Park Byung Eun', 'Go Jun']",32,55540000,False,"1,836건",2020-07-12
Go With,동행,"['Drama', 'Family']",MBN,,['Jo Gyoo Won'],2020-05-09,2020-05-10,"Saturday, Sunday",2020,2,"People who have taken a completely different path of meeting and connection Sometimes, they make a stronger relationship than family. Two different people begin to accompany each other on the last path of life.(Source: HanCinema) ",['Go Doo Shim'],29,21391000,False,"48,038건",2020-07-08
Soul Mechanic,영혼수선공,"['Comedy', 'Romance', 'Drama', 'Medical']",KBS2,['Yoo Hyun Ki'],['Lee Hyang Hee'],2020-05-06,2020-06-25,"Wednesday, Thursday",2020,32,"How do you deal with anger? Where does happiness actually come from? These questions are at the heart of Fix You, a touching drama about a quirky psychiatrist on a mission to help people heal, and a rising star whose emotional wounds run deep. Lee Si Joon is an eccentric but passionate psychiatrist working in a hospital. He cares deeply for his patients, whom he tries to help through valiant, yet often unorthodox efforts. Han Woo Joo is an up and coming musical actress. Honest and principled, her efforts on the stage seem to be paying off, but she struggles with anger issues and recurring mental breakdowns that threaten to derail her career. With compassion as his tool, can Lee Si Joon help mend her soul and let the healing begin?(Source: Viki)","['Tae In Ho', 'Shin Ha Kyun', 'Jung So Min', 'Park Ye Jin']",20,896400,False,"1,034건",2020-07-05
Cast: The Golden Age of Insiders,캐스트: 인싸전성시대,"['Comedy', 'Youth', 'Drama', 'Sitcom']",tvN,,,2020-05-05,2020-05-27,"Tuesday, Wednesday",2020,8,"It is a romantic sitcom about the lives of young men and women in their early 20s. It describes the stories of casts in an amusement park where 'Fatigue and Healing', 'Stress and Pleasure' and 'Sum and Ssam' coexist.(Source: Naver) ","['Choi Yoo Jung', 'Lee Jung Min', 'Jung So Ri', 'Park Joon Mok', 'Kim Young']",20,2779400,False,23건,2020-07-04
Mom Has an Affair,엄마가 바람났다,"['Romance', 'Drama', 'Family']",SBS,['Ko Heung Sik'],['Ahn Seo Jung'],2020-05-04,2020-10-23,"Monday, Tuesday, Wednesday, Thursday, Friday",2020,122,"Desperate times call for desperate measures and for one mom, that means bagging a rich man to make her kids happy. Pil Jeong is a single, divorced mom of two who swore that she’ll never get married again. Her children, on the other hand, have other plans in store. They beg her to find and marry a rich man as a means of securing their family’s future and a hilarious family expansion project ensues.(Source: Viki)","['Moon Bo Ryung', 'Hyun Jyu Ni', 'Lee Jae Hwang', 'Kim Hyung Beom']",20,5467600,False,"3,315건",2020-07-03
Extracurricular,인간수업,"['Psychological', 'Crime', 'Youth', 'Drama']",Netflix,['Kim Jin Min'],['Jin Han Sae'],2020-04-29,2020-04-29,Wednesday,2020,10,"""Extracurricular” is centered around four high school students who start committing crimes to earn money and the unpredictable dangers they face as a result. Ji Soo, who goes from a model student to a criminal after committing an unthinkable act. Jung Da Bin as school bully Min Hee, who gets caught up in Ji Soo’s crime. Park Joo Hyun will portray Ji Soo’s dangerous partner in crime Gyu Ri, while Nam Yoon Soo will appear as Min Hee’s boyfriend and the school’s most popular guy Ki Tae.","['Park Ju Hyun', 'Jung Da Bin', 'Nam Yoon Su', 'Kim Dong Hee']",35,42657100,False,"3,057건",2020-06-28
Good Casting,굿 캐스팅,"['Action', 'Mystery', 'Comedy', 'Crime']",SBS,['Choi Young Hoon'],['Park Ji Ha'],2020-04-27,2020-06-16,"Monday, Tuesday",2020,16,"Baek Chan Mi is a legendary agent for the National Intelligence Service. However, due to an excessive operation, one of her subordinates passes away. After this incident, she takes back all hope of returning to the field when she gets an order to go undercover. She begins working as a secretary for Ilkwang Hitech under the name, Baek Jang Mi. She is joined by a single mother, Im Ye Eun, who has the beauty of a girl group member, and Hwang Mi Soon, a housewife of 18 years whose family believes her to be an insurance salesperson. These three women begin to work together. Meanwhile, Ilkwang Hitech’s CEO, Yoon Seok Ho, knew Chan Mi as his tutor and had a crush on her. He can’t help but think that his new secretary, who looks exactly like his first love but has a different name and age, is a bit suspicious.(Source: VIKI)","['Lee Jong Hyuk', 'Yoo In Young', 'Lee Jun Young', 'Lee Sang Yeob', 'Kim Ji Young', 'Choi Kang Hee']",24,34291800,False,"1,760건",2020-06-26
When My Love Blooms,화양연화,"['Romance', 'Life', 'Drama', 'Family']",tvN,['Son Jung Hyun'],['Jun Hee Young'],2020-04-25,2020-06-14,"Saturday, Sunday",2020,16,"Twenty years ago, Yoon Ji Soo fell in love with a man who made her heart sing. As a freshman at the college of music, Ji Soo didn’t expect to catch the eye of Han Jae Hyun, a popular, headstrong law school student, but she did. Falling for him as quickly as he fell for her, the two experienced one of the most beautiful moments any two people can experience together: their first love.  But like so many first loves, theirs wouldn’t last forever.Now in her forties, Ji Soo is a single mother, working a contract job in a desperate attempt to make ends meet. Jae Hyun, on the other hand, is a successful, ambitious businessman who has pursued wealth and honor, above all else. Far different than the man he once was, Jae Hyun is hardly recognizable as the headstrong kid he used to be. But when fate brings Ji Soo back into his life, she recognizes him almost immediately.Suddenly back in each other’s lives, Ji Soo and Jae Hyun have been granted a rare opportunity to start over. But can two people really separated by so many years and experiences, really reignite a flame that flickered out so many years ago?(Source: Viki)","['Jeon So Nee', 'Lee Bo Young', 'Yoo Ji Tae', 'Park Jin Young']",32,11168000,False,"3,366건",2020-06-24
The World of My 17,소녀의 세계,"['Comedy', 'Life', 'Youth', 'Drama']",Naver TV Cast vLive,,['Yoon Shi So'],2020-04-22,2020-05-29,"Wednesday, Friday",2020,12,"It tells the heartfelt story of friendship and growth in high school, where friends make up the entirety of one’s world. The daily life of 17-year-old teenagers, those who are sometimes troubled by their friends but also become indispensable friends.Oh Na Ri is a high school freshman who feels confident after she successfully lost weight. However, her self-esteem is lowered by the pretty girls she meets named Im Yoo Na, Im Sun Ji, and Seo Mi Rae. Although she dreams of normal school life, she is met with numerous trials.Im Yoo Na is Na Ri’s childhood friend and a classy girl. She is not lacking in any aspect, whether it’s her appearance or her family background. However, she grows exhausted from the fake people around her. She only considers Na Ri as her one true friend.Im Sun Ji appears innocent in appearance but is in the front to stand up for Na Ri when she faces trouble. Seo Mi Rae is a popular girl among the students. Although she is busy as an idol trainee, she becomes curious about Na Ri after realizing how much Yoo Na admires her.(Source: Soompi, OSEN, Allkpop)~~ Adapted from the webtoon ""Odd Girl Out"" by Morangg.","['Han Chae Kyung', 'Hwang Bo Reum Byeol', 'Kim Do Ah', 'Arin']",26,73643000,False,"10,022건",2020-06-21
Brilliant Heritage,기막힌 유산,"['Comedy', 'Romance', 'Family', 'Melodrama']",KBS1,['Kim Hyung Il'],['Kim Kyung Hee'],2020-04-20,2020-10-09,"Monday, Tuesday, Wednesday, Thursday, Friday",2020,122,"Family relationships, fortunes, and fake marriages are at the heart of this delightful drama involving a restaurateur and his greedy sons. Bu Young Bae is the owner of a 50-year-old Pyongyang cold noodle restaurant whose health scare causes his children to quarrel over his vast wealth. Feeling betrayed by their behavior, he decides to marry Gye Ok, a 33-year-old single maid enticed by Young Bae's fortune and big family, under false pretenses. The move shocks his sons, but Gye Ok's strong work ethic makes Young Bae realize that she’ll be able to keep his cold noodle restaurant afloat. Unlike his siblings, Young Bae’s independent and headstrong son, Bu Seol Ak, isn’t interested in his wealth or family drama, but his disdain for Gye Ok and her presence in his aging father’s life motivates him to get involved, bringing the two adversaries closer together in unexpected ways.(Source: viki.com)","['Park In Hwan', 'Shin Jung Yoon', 'Kang Se Jung']",20,947700,False,586건,2020-06-19
Born Again,본 어게인,"['Mystery', 'Romance', 'Fantasy', 'Melodrama']",KBS2,['Jin Hyung Wook'],['Jung Soo Mi'],2020-04-20,2020-06-09,"Monday, Tuesday",2020,32,"Life, death and second chances take center stage in this story about three people whose intertwined destinies travel through space and time with haunting results. It’s the 1980s and Detective Cha Hyung Bin has devoted his life to criminal justice, and his heart to Ha Eun, a bookshop owner suffering from heart disease who keeps her illness a secret. But Cha Hyung Bin isn’t the only one pining after Ha Eun: serial killer Gong Ji Chul has also fallen in love with her. Their lives collide with tragic results, but 30 years later, they’re reincarnated and fate brings them together again. The more time passes, the more their new lives become tangled in the devastating web of history. Will they manage to escape the past, or be forced to come face to face with it?(Source: Viki)","['Lee Soo Hyuk', 'Jang Ki Yong', 'Jin Se Yeon']",25,8033600,False,984건,2020-06-19
Timing,타이밍,"['Romance', 'Youth', 'Drama']",jTBC,,"['Kim Ji Suk', 'Yoo In Young']",2020-04-19,2020-04-26,,2020,4,"Best friends since childhood, Hyo Min and Bo Seok have been a permanent part of each other’s lives for over a decade. Saving Hyo Min from the bullies at school when they were children, Bo Seok has been by her side ever since. Growing up together, they have shared every moment of their lives, both good and bad, developing a friendship like no other.As adults, the two have occasionally struggled with the feelings stronger they seem to have inadvertently developed for each other. Never wanting to damage such a precious friendship, the two have always been conflicted when it came to sharing their deeper feelings. On occasion, Hyo Min and Bo Seok have been a little more open with their hearts, but it never goes beyond the feelings of a moment. For some reason, the timing between them is always just a little off.But all that changes when Hyo Min loses her memory. Unexpectedly presented with the opportunity to take their relationship to the next level, Bo Seok seizes his moment, more than willing to take on this arduous task. He just needs to find a way to remind her of how much they mean to each other. Will Bo Seok’s efforts finally bring them together or will they become victims of poor timing once again?(Source: Viki)","['Yoon Jong Hoon', 'Han Bo Reum']",31,26329300,False,"63,491건",2020-06-18
Mute,너의 마음은 음소거,"['Music', 'Romance', 'Supernatural']",jTBC,['Park Sun Jae'],"['Kang Han Na', 'One']",2020-04-19,2020-04-26,,2020,4,"Han Na is a female concert organizer who has an incredible secret ability: when she encounters a person whom she loves, she can “hear” their thoughts.While trying to snare a prestigious full-time job, she has a chance encounter with a man named Je Won, who has trouble expressing his feelings and suffers from a hearing-related problem.When they meet, Han Na discovers that she can read his mind, and when they are together, Je Won’s hearing problems magically disappear. A romantic bond slowly develops between them.However, after they kiss for the first time, Han Na discovers that she can no longer read Je Won’s mind. Will love continue to bloom for Han Na even after she stops “hearing” his innermost thoughts?(Source: Viki)","['Won Tae Min', 'Bae Yoon Kyung']",20,13608200,False,99건,2020-06-18
Crash! Insignificant Reunion,우당탕탕 하찮은 동창회,"['Comedy', 'Youth']",vLive,,,2020-04-17,2020-05-08,Friday,2020,4,"""The crazy reunion of friends who haven't seen each other for ten years"".Ten years later, a crazy reunion of petty neighbors took place, where we learn how our crazy boys have changed. ","['Kim Dong Hyun', 'Choi Bo Min', 'Y', 'Lee Jang Jun', 'Hong Joo Chan', 'Kim Ji Beom']",20,59117900,False,2건,2020-06-16
The King: Eternal Monarch,더 킹: 영원의 군주,"['Mystery', 'Romance', 'Drama', 'Sci-Fi']",Netflix SBS,"['Baek Sang Hoon', 'Yoo Je Won', 'Jung Ji Hyun']",['Kim Eun Sook'],2020-04-17,2020-06-12,"Friday, Saturday",2020,16,"Lee Gon is the third Korean emperor of his generation. His citizens regard him as the perfect leader. But behind this flawless appearance, hides a deep wound. When he was eight years old, his father was murdered before his eyes following a coup. Today, instead of respecting his filial duty, he prefers to escape the palace to attend university conferences. During one of his escapades, he sees himself propelled into a parallel world where he meets Jeong Tae Eul, an inspector with whom he teams up with to defeat the criminals but also close the door between their two worlds.(Source: Yumiko777.eklablog)","['Woo Do Hwan', 'Lee Jung Jin', 'Kim Go Eun', 'Jung Eun Chae', 'Lee Min Ho', 'Kim Kyung Nam']",26,18852000,False,"5,048건",2020-06-16
Ordinary but Special,평범하지만특별하게,"['Comedy', 'Romance', 'Youth', 'Drama']",vLive,['Han Da Weon'],,2020-04-08,2020-05-13,Wednesday,2020,6,A web drama about an ordinary high school club that takes a class trip to the sea where the series then focuses on the relationships and happenings between the classmates.(Source: whatthekpop.com) ,"['Hwang Jung Ha', 'Jeong Ye Seo', 'Kim Bum Su']",20,13263200,False,53건,2020-06-07
Ask Miss Shin,소통의 미쓰신,"['Drama', 'Supernatural']",Naver TV Cast,,,2020-04-06,2020-04-20,Monday,2020,3,"The web drama, made by Korea Consumer Agency and Seoul Metropolitan City, follows Ms. Shin, a counseling deity, as she talks about cases of unfair treatment of consumers.(Source: consumertimes.kr) ",['Kim So Hye'],20,6425500,False,3건,2020-06-05
How to Buy a Friend,계약우정,"['Mystery', 'Comedy', 'Romance', 'Drama']",KBS2,['Yoo Young Eun'],,2020-04-06,2020-04-14,"Monday, Tuesday",2020,8,"Rumors surround Don Hyuk, a highly praised high school fighter, after his girlfriend’s sudden suicide. Plagued by the trauma he is quick to fight if someone even mentions her name, landing him in juvenile detention. After his release, he returns to school where he comes across a poem written by Chan Hong, a particularly average student who has a knack for writing. Eventually, Don Hyuk discovers a clue about his girlfriend’s death and approaches Chan Hong to help him investigate, and in exchange, he will serve as Chan Hong’s personal bodyguard. This contractual relationship entangles them both in a series of dramatic events as they try to uncover the truth behind the suicide.(Source: KOCOWA)~~ Adapted from the webtoon with the same name by Kwon Laad.","['Shin Seung Ho', 'Lee Shin Young', 'Kim So Hye']",26,483900,False,"1,027건",2020-06-05
Best Mistake Season 2,일진에게 찍혔을 때 시즌2,"['Comedy', 'Romance', 'Youth', 'Drama']",vLive,['Lee Yoo Yeon'],['Yoon Shi So'],2020-03-31,2020-05-21,"Tuesday, Thursday",2020,16,"In the first season that played back in July, a model student named Kim Yeon-doo, who is devoted to her studies, got involved with Ji Hyeon-ho, who was branded as a bully, and went through stages of teenage romance, friendship and growth.(Source: Han Cinema)~~ Adapted from a mobile dating simulation game ""Best Mistake"" (일진에게 찍혔을 때) by Day7 (데이세븐). ","['Lee Eun Jae', 'Kang Yul', 'Lee Jung Joon', 'Yoon Jun Won', 'Park E Hyun']",26,49769000,False,62건,2020-05-30
Fatal Promise,위험한 약속,"['Romance', 'Drama', 'Family', 'Melodrama']",KBS2,['Kim Shin Il'],['Ma Joo Hee'],2020-03-30,2020-08-28,"Monday, Tuesday, Wednesday, Thursday, Friday",2020,104,"Cha Eun Dong has always been an upright citizen who has stood up against injustices. Coming from humble beginnings, she has also practiced patience. Unfortunately one day her family is cast into turbulence after she is betrayed by the one person she confides in. After being brutally deceived, Eun Dong is reborn by the burning fire of vengeance as she swears retribution. In contrast, Kang Tae In has always been a rational man of morals who has always kept his word. Starting as a lowly employee to now the chairman of F Sports Group, he has only depended on himself for a better life. The one promise he has broken was the one he made to Eun Dong, after having to choose between her and his chance for greatness. (Source: KOCOWA)","['Park Ha Na', 'Park Young Rin', 'Go Se Won', 'Kang Tae Sung', 'Lee Chang Wook']",30,1832700,False,529건,2020-05-29
Rugal,루갈,"['Action', 'Thriller', 'Crime', 'Sci-Fi']",Netflix OCN,['Kang Cheol Woo'],['Do Hyun'],2020-03-28,2020-05-17,"Saturday, Sunday",2020,16,"Kang Ki Beom is an elite police officer whose attempt to bring down Argos, a nationwide criminal organization, results in a group of masked assailants from Argos killing his beloved wife and cutting out both of his eyes. Kang wakes up in a hospital only to find himself accused of murdering his family members. The NIS then approaches him with an offer to become a member of Rugal, a special team organized by the NIS. He receives two artificial eyes with Rugal's biotechnology built into them and with them gains unique new abilities with which to take down criminal organizations. Kang Ki Beom and Rugal set out on a mission to wipe out Argos.(Sources: Asianwiki, Soompi)~~ Adapted from the webtoon of the same name.","['Choi Jin Hyuk', 'Park Sung Woong', 'Park Sun Ho', 'Jo Dong Hyuk', 'Jung Hye In', 'Kim Min Sang']",26,4205000,False,"1,243건",2020-05-27
Eccentric! Chef Moon,유별나! 문셰프,"['Food', 'Comedy', 'Romance', 'Melodrama']",Channel A,"['Choi Do Hoon', 'Jung Hun Soo']","['Jung Yoo Ri', 'Kim Kyung Soo']",2020-03-27,2020-05-16,"Friday, Saturday",2020,16,"Yoo Yoo Jin is an eccentric, world-renowned fashion designer who has devoted her life to the world of haute couture. But one day, she is found in a remote village in the South Korean countryside with a bad case of amnesia – unable to remember who she is or how she got there. The villagers put her up in a house whose occupant is former star chef Moon Seung Mo – a man who has vowed to turn his back on his culinary career after a tragic accident event left him seeking solitude. At first, the ex-chef is resentful of his new houseguest. But when he finds that Yoo Yoo Jin has a seemingly unquenchable desire for food, he starts to rediscover his passion for cooking, life…and perhaps romance!(Source: Viki)","['Go Won Hee', 'Eric Mun']",20,3415000,False,541건,2020-05-26
The World of the Married,부부의 세계,"['Thriller', 'Romance', 'Drama', 'Melodrama']",jTBC,['Mo Wan Il'],['Joo Hyun'],2020-03-27,2020-05-16,"Friday, Saturday",2020,16,"Everything seems perfect in the life of the successful family doctor and associate director, Ji Sun Woo. She lives happily in Gosan with her handsome husband Lee Tae Oh, whom she financially helped establish an entertainment company, and their teenage son, Joon Young. However, the perfect image of a happy, loving family life shatters when she discovers that her husband is having an affair, and even their mutual friends are helping him conceal it. Devastated by the betrayal, she sets on a path of seeking revenge and recollecting her broken self.(Source: MyDramaList)~~ Remake of the British TV series ""Doctor Foster"" [2015].","['Kim Hee Ae', 'Han So Hee', 'Park Hae Joon']",32,44359000,False,"42,138건",2020-05-26
"Meow, the Secret Boy",어서와,"['Comedy', 'Romance', 'Drama', 'Fantasy']",KBS2,"['Ji Byung Hyun', 'Goo Sung Joon']",['Joo Hwa Mi'],2020-03-25,2020-04-30,"Wednesday, Thursday",2020,24,"A graphic designer in her mid-twenties, Sol Ah harbors dreams of becoming a web-based comic author and has always had a love-hate relationship with cats.But Sol Ah’s life changes fast when she brings home a friendly feline. It turns out, however, that this is not any old cat. Named Hong Jo, he can take human form. Hong Jo becomes exceptionally fond of Sol Ah and goes to great pains to hide his human identity from her. He soon proves that he will do anything that is required in order to stay near her.Will Hong Jo manage to keep his identity a secret? And what could be in store for this remarkable feline-human duo as their relationship deepens?(Source: Viki)~~ Adapted from the webtoon series ""Welcome"" by Go A Ra.","['Kim Myung Soo', 'Shin Ye Eun', 'Kang Hoon', 'Yoon Ye Joo', 'Seo Ji Hoon']",32,11793000,False,"6,077건",2020-05-24
365: Repeat the Year,365: 운명을 거스르는 1년,"['Thriller', 'Mystery', 'Drama', 'Fantasy']",MBC,['Kim Kyung Hee'],"['Lee Seo Yoon', 'Lee Soo Kyung']",2020-03-23,2020-04-28,"Monday, Tuesday",2020,24,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.Ji Hyung Joo is a detective in the violent crimes division. He used to be part of the traffic police but was promoted when he arrested a wanted criminal.It's been seven years since the change, and he's a talented individual who always knows how to relax. Though he is happy at first to have the chance to go back in time by one year and ""reset"" his life, he begins to search for the truth when a series of mysterious events befall the group of people he goes back in time with.(Source: Soompi, MBC)~~ Adapted from the novel “Repeat"" by Inui Kurumi.","['Nam Ji Hyun', 'Lee Joon Hyuk', 'Kim Jee Soo']",32,10485500,False,864건,2020-05-22
