,daily_views,director_drama_num,screenwriter_drama_num,tot_eps,duration,season_Spring,season_Summer,season_Winter,week_of_weekend,org_terrestrial_TV,org_cable_TV,org_OTT,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
193,223012,3,1,7,40,0,0,0,0,0,0,1,3,3,0,1,1,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
194,79945,2,2,16,60,0,0,0,1,1,1,0,2,2,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,212090,4,2,17,80,0,0,0,1,1,1,0,2,1,0,1,1,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
196,111428,5,3,16,70,0,0,0,0,0,1,0,2,2,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,29293,2,2,12,85,0,0,0,0,0,1,1,1,5,0,0,4,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
198,19565,3,3,16,60,0,0,0,0,0,1,0,1,1,0,0,1,20,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,7634,2,1,12,70,0,0,0,1,1,0,1,1,1,0,1,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,18587,4,1,12,70,0,0,0,1,0,1,1,2,4,1,0,0,26,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,20367,1,2,16,65,0,0,0,1,0,1,0,2,2,0,0,0,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,41376,1,1,12,30,0,0,0,1,0,1,1,2,0,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,31398,4,2,16,70,0,0,0,0,0,1,1,2,2,0,0,0,22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,184528,10,3,20,70,0,0,0,0,1,0,1,3,3,0,1,2,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
212,88975,1,1,13,30,0,0,0,0,0,1,0,2,2,0,0,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
213,242705,5,3,52,70,0,0,0,1,1,0,0,2,2,0,0,1,18,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,3321,5,1,12,70,0,0,0,0,0,1,0,2,1,0,0,0,15,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
215,10372,4,2,16,65,0,0,0,0,1,0,0,3,2,0,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,107687,3,1,12,70,0,0,0,1,1,0,0,1,2,0,0,0,25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
218,191884,6,4,14,70,0,0,0,1,0,1,1,1,1,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,47238,3,1,16,70,0,0,0,0,0,1,0,1,4,0,0,0,20,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,46233,1,1,16,70,0,0,0,1,0,1,1,2,2,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,49699,6,2,16,70,0,1,0,0,1,2,0,2,2,0,1,0,20,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
223,131725,8,3,16,80,0,1,0,1,0,1,1,2,1,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,34514,1,3,16,70,0,1,0,0,1,0,0,2,1,1,0,1,24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,5389,1,1,12,80,0,1,0,0,0,1,0,1,2,0,0,0,32,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,208,1,1,8,25,0,1,0,0,0,0,1,2,1,0,1,0,22,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
228,40959,1,1,12,20,0,1,0,0,0,2,0,0,1,0,1,0,16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
229,55473,5,1,16,20,0,1,0,1,0,2,0,1,1,0,0,2,11,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,96414,5,1,8,44,0,1,0,0,0,0,1,1,2,0,1,1,18,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
232,76530,5,2,16,70,0,1,0,0,0,1,1,2,2,0,0,1,23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,111674,4,2,16,75,0,1,0,1,0,1,0,2,2,0,1,1,22,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
234,19235,3,1,16,24,0,1,0,0,0,1,0,4,0,0,0,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
